Country,Income_Group,ISO2,ISO3,prod_yield,Year,Fertilizers_y,prod_yield_value,Pesticide_x
Angola,Lower-middle-income economies,AO,AGO,Value Prod,2010,94884,146757814,40
Angola,Lower-middle-income economies,AO,AGO,Value Yield,2010,94884,6045942,40
South Africa,Upper-middle-income economies,ZA,ZAF,Value Prod,2003,302895,308476161,26857
South Africa,Upper-middle-income economies,ZA,ZAF,Value Yield,2003,302895,11022781,26857
Spain,High-income economies,ES,ESP,Value Prod,2003,5602761,474767860,41586
Spain,High-income economies,ES,ESP,Value Yield,2003,5602761,11126059,41586
Malawi,Low income economies,MW,MWI,Value Prod,2014,387197,152732580,2358
Malawi,Low income economies,MW,MWI,Value Yield,2014,387197,11476374,2358
Belize,Upper-middle-income economies,BZ,BLZ,Value Prod,2005,11650,12248320,960
Belize,Upper-middle-income economies,BZ,BLZ,Value Yield,2005,11650,7003731,960
Portugal,High-income economies,PT,PRT,Value Prod,2004,86729,53250869,16942
Portugal,High-income economies,PT,PRT,Value Yield,2004,86729,10188185,16942
Philippines,Lower-middle-income economies,PH,PHL,Value Prod,2009,1639940,499845052,22236
Philippines,Lower-middle-income economies,PH,PHL,Value Yield,2009,1639940,7016422,22236
Malawi,Low income economies,MW,MWI,Value Prod,2003,227391,84082250,89
Malawi,Low income economies,MW,MWI,Value Yield,2003,227391,10424834,89
Pakistan,Lower-middle-income economies,PK,PAK,Value Prod,2014,8501280,873922119,1
Pakistan,Lower-middle-income economies,PK,PAK,Value Yield,2014,8501280,7759948,1
Niger,Low income economies,NE,NER,Value Prod,2003,19336,23225500,28
Niger,Low income economies,NE,NER,Value Yield,2003,19336,4587845,28
Burkina Faso,Low income economies,BF,BFA,Value Prod,2004,126769,26756121,2
Burkina Faso,Low income economies,BF,BFA,Value Yield,2004,126769,8983660,2
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Prod,2011,80914,43450757,462
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Yield,2011,80914,6328980,462
Guyana,Upper-middle-income economies,GY,GUY,Value Prod,2005,21850,21402774,271
Guyana,Upper-middle-income economies,GY,GUY,Value Yield,2005,21850,5596170,271
Peru,Upper-middle-income economies,PE,PER,Value Prod,2009,827387.14,197990002,4719
Peru,Upper-middle-income economies,PE,PER,Value Yield,2009,827387.14,13100794,4719
Poland,High-income economies,PL,POL,Value Prod,2004,1478395,393979260,8726
Poland,High-income economies,PL,POL,Value Yield,2004,1478395,6255936,8726
Barbados,High-income economies,BB,BRB,Value Prod,2006,3984,1836015,168
Barbados,High-income economies,BB,BRB,Value Yield,2006,3984,4376715,168
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2009,8728554,1112320867,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2009,8728554,9880003,1597
Guatemala,Upper-middle-income economies,GT,GTM,Value Prod,2007,446209,194582675,22883
Guatemala,Upper-middle-income economies,GT,GTM,Value Yield,2007,446209,12318026,22883
El Salvador,Lower-middle-income economies,SV,SLV,Value Prod,2017,46511.3,61597949,834
El Salvador,Lower-middle-income economies,SV,SLV,Value Yield,2017,46511.3,11314527,834
Guatemala,Upper-middle-income economies,GT,GTM,Value Prod,2002,416884,162356992,10392
Guatemala,Upper-middle-income economies,GT,GTM,Value Yield,2002,416884,12611655,10392
Hungary,High-income economies,HU,HUN,Value Prod,2009,1028960,107684346,11144
Hungary,High-income economies,HU,HUN,Value Yield,2009,1028960,6787164,11144
Ukraine,Lower-middle-income economies,UA,UKR,Value Prod,2002,1470449,458140512,17487
Ukraine,Lower-middle-income economies,UA,UKR,Value Yield,2002,1470449,3100326,17487
Honduras,Lower-middle-income economies,HN,HND,Value Prod,2008,98068,64097936,5130
Honduras,Lower-middle-income economies,HN,HND,Value Yield,2008,98068,10502212,5130
Madagascar,Low income economies,MG,MDG,Value Prod,2009,17064,97839847,144
Madagascar,Low income economies,MG,MDG,Value Yield,2009,17064,4349387,144
Trinidad and Tobago,High-income economies,TT,TTO,Value Prod,2005,7935,3284796,136
Trinidad and Tobago,High-income economies,TT,TTO,Value Yield,2005,7935,5673843,136
United States of America,High-income economies,US,USA,Value Prod,2017,45547513.87,4149779102,407779
United States of America,High-income economies,US,USA,Value Yield,2017,45547513.87,14934416,407779
Ukraine,Lower-middle-income economies,UA,UKR,Value Prod,2018,4865415,711497460,25341
Ukraine,Lower-middle-income economies,UA,UKR,Value Yield,2018,4865415,6911514,25341
Sweden,High-income economies,SE,SWE,Value Prod,2012,615161,42204280,1814
Sweden,High-income economies,SE,SWE,Value Yield,2012,615161,6283500,1814
Côte d'Ivoire,Lower-middle-income economies,CI,CIV,Value Prod,2002,259252,90742106,93
Côte d'Ivoire,Lower-middle-income economies,CI,CIV,Value Yield,2002,259252,6395571,93
Mozambique,Low income economies,MZ,MOZ,Value Prod,2010,102592,94659670,1189
Mozambique,Low income economies,MZ,MOZ,Value Yield,2010,102592,6561163,1189
Mauritius,Upper-middle-income economies,MU,MUS,Value Prod,2008,41156,27779904,827
Mauritius,Upper-middle-income economies,MU,MUS,Value Yield,2008,41156,9320570,827
Bangladesh,Lower-middle-income economies,BD,BGD,Value Prod,2002,3298690,316810530,4206
Bangladesh,Lower-middle-income economies,BD,BGD,Value Yield,2002,3298690,4914063,4206
French Polynesia,High-income economies,PF,PYF,Value Prod,2005,1665,193070,55
French Polynesia,High-income economies,PF,PYF,Value Yield,2005,1665,6345175,55
Peru,Upper-middle-income economies,PE,PER,Value Prod,2008,687815.08,190356264,5009
Peru,Upper-middle-income economies,PE,PER,Value Yield,2008,687815.08,13399505,5009
United States of America,High-income economies,US,USA,Value Prod,2012,49933107,3630519347,407779
United States of America,High-income economies,US,USA,Value Yield,2012,49933107,15273419,407779
Samoa,Upper-middle-income economies,WS,WSM,Value Prod,2004,85,354865,29
Samoa,Upper-middle-income economies,WS,WSM,Value Yield,2004,85,1426965,29
Argentina,High-income economies,AR,ARG,Value Prod,2008,2335985,620561389,203369
Argentina,High-income economies,AR,ARG,Value Yield,2008,2335985,10955609,203369
Czechia,High-income economies,CZ,CZE,Value Prod,2011,474196,80655972,5306
Czechia,High-income economies,CZ,CZE,Value Yield,2011,474196,7830354,5306
Rwanda,Low income economies,RW,RWA,Value Prod,2008,22018,38888922,322
Rwanda,Low income economies,RW,RWA,Value Yield,2008,22018,2312046,322
Switzerland,High-income economies,CH,CHE,Value Prod,2009,211810,24806814,2259
Switzerland,High-income economies,CH,CHE,Value Yield,2009,211810,11312040,2259
Nicaragua,Lower-middle-income economies,NI,NIC,Value Prod,2008,86350.13,34557960,10174
Nicaragua,Lower-middle-income economies,NI,NIC,Value Yield,2008,86350.13,6733098,10174
Philippines,Lower-middle-income economies,PH,PHL,Value Prod,2005,1965850,447981394,19130
Philippines,Lower-middle-income economies,PH,PHL,Value Yield,2005,1965850,7276570,19130
Italy,High-income economies,IT,ITA,Value Prod,2010,1972679,417562313,71613
Italy,High-income economies,IT,ITA,Value Yield,2010,1972679,10541972,71613
Georgia,Lower-middle-income economies,GE,GEO,Value Prod,2015,4300,7668336,1351
Georgia,Lower-middle-income economies,GE,GEO,Value Yield,2015,4300,1966104,1351
Uruguay,High-income economies,UY,URY,Value Prod,2015,515519,30463164,14068
Uruguay,High-income economies,UY,URY,Value Yield,2015,515519,7895838,14068
Lithuania,High-income economies,LT,LTU,Value Prod,2009,755099,27338640,2749
Lithuania,High-income economies,LT,LTU,Value Yield,2009,755099,4343020,2749
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2014,351368,78053304,6587
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2014,351368,8291857,6587
Venezuela (Bolivarian Republic of),Upper-middle-income economies,VE,VEN,Value Prod,2009,930000,104096064,3928
Venezuela (Bolivarian Republic of),Upper-middle-income economies,VE,VEN,Value Yield,2009,930000,8163024,3928
Pakistan,Lower-middle-income economies,PK,PAK,Value Prod,2003,6702014,667183944,9893
Pakistan,Lower-middle-income economies,PK,PAK,Value Yield,2003,6702014,6951224,9893
Albania,Upper-middle-income economies,AL,ALB,Value Prod,2009,122307,13774726,411
Albania,Upper-middle-income economies,AL,ALB,Value Yield,2009,122307,7090356,411
Denmark,High-income economies,DK,DNK,Value Prod,2015,517235,83202462,2594
Denmark,High-income economies,DK,DNK,Value Yield,2015,517235,9395694,2594
Bangladesh,Lower-middle-income economies,BD,BGD,Value Prod,2009,3116145,408432780,13756
Bangladesh,Lower-middle-income economies,BD,BGD,Value Yield,2009,3116145,5314456,13756
Slovakia,High-income economies,SK,SVK,Value Prod,2014,444948.64,39850788,1722
Slovakia,High-income economies,SK,SVK,Value Yield,2014,444948.64,7083612,1722
Costa Rica,Upper-middle-income economies,CR,CRI,Value Prod,2007,61813,75864495,12747
Costa Rica,Upper-middle-income economies,CR,CRI,Value Yield,2007,61813,11722263,12747
Ethiopia,Low income economies,ET,ETH,Value Prod,2011,550578,167160707,4128
Ethiopia,Low income economies,ET,ETH,Value Yield,2011,550578,5129012,4128
Angola,Lower-middle-income economies,AO,AGO,Value Prod,2007,15471,102512984,40
Angola,Lower-middle-income economies,AO,AGO,Value Yield,2007,15471,5828186,40
Belize,Upper-middle-income economies,BZ,BLZ,Value Prod,2008,3811,12079046,984
Belize,Upper-middle-income economies,BZ,BLZ,Value Yield,2008,3811,6402963,984
Armenia,Upper-middle-income economies,AM,ARM,Value Prod,2002,45028,7572170,89
Armenia,Upper-middle-income economies,AM,ARM,Value Yield,2002,45028,3587250,89
Nepal,Low income economies,NP,NPL,Value Prod,2015,305392,145695550,574
Nepal,Low income economies,NP,NPL,Value Yield,2015,305392,6719979,574
Ecuador,Upper-middle-income economies,EC,ECU,Value Prod,2010,596365.97,128508792,31637
Ecuador,Upper-middle-income economies,EC,ECU,Value Yield,2010,596365.97,6922266,31637
Canada,High-income economies,CA,CAN,Value Prod,2008,17297000,319276610,53707
Canada,High-income economies,CA,CAN,Value Yield,2008,17297000,4812895,53707
Croatia,High-income economies,HR,HRV,Value Prod,2015,399775,38263827,2301
Croatia,High-income economies,HR,HRV,Value Yield,2015,399775,9342424,2301
Egypt,Lower-middle-income economies,EG,EGY,Value Prod,2011,5077000,578686521,12945
Egypt,Lower-middle-income economies,EG,EGY,Value Yield,2011,5077000,13203414,12945
Tunisia,Lower-middle-income economies,TN,TUN,Value Prod,2006,228492.87,35823306,980
Tunisia,Lower-middle-income economies,TN,TUN,Value Yield,2006,228492.87,3816967,980
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2008,4317385.39,877743804,50155
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2008,4317385.39,10530716,50155
Algeria,Upper-middle-income economies,DZ,DZA,Value Prod,2016,383115,132691560,4153
Algeria,Upper-middle-income economies,DZ,DZA,Value Yield,2016,383115,5835319,4153
Japan,High-income economies,JP,JPN,Value Prod,2005,3438852,275148188,63830
Japan,High-income economies,JP,JPN,Value Yield,2005,3438852,11410546,63830
Uganda,Low income economies,UG,UGA,Value Prod,2006,16358,118567115,88
Uganda,Low income economies,UG,UGA,Value Yield,2006,16358,4494820,88
Ghana,Lower-middle-income economies,GH,GHA,Value Prod,2014,111083,254177217,392
Ghana,Lower-middle-income economies,GH,GHA,Value Yield,2014,111083,6712692,392
Thailand,Upper-middle-income economies,TH,THA,Value Prod,2009,3914333.42,1051290107,67933
Thailand,Upper-middle-income economies,TH,THA,Value Yield,2009,3914333.42,8756580,67933
Zambia,Lower-middle-income economies,ZM,ZMB,Value Prod,2009,200986,43750212,1670
Zambia,Lower-middle-income economies,ZM,ZMB,Value Yield,2009,200986,7676784,1670
Yemen,Low income economies,YE,YEM,Value Prod,2004,39690,13047612,614
Yemen,Low income economies,YE,YEM,Value Yield,2004,39690,3138352,614
Latvia,High-income economies,LV,LVA,Value Prod,2009,206867,9548772,881
Latvia,High-income economies,LV,LVA,Value Yield,2009,206867,2113385,881
Costa Rica,Upper-middle-income economies,CR,CRI,Value Prod,2003,379644,66501323,11335
Costa Rica,Upper-middle-income economies,CR,CRI,Value Yield,2003,379644,11955377,11335
Lithuania,High-income economies,LT,LTU,Value Prod,2006,406625,16536040,1197
Lithuania,High-income economies,LT,LTU,Value Yield,2006,406625,3230155,1197
Oman,High-income economies,OM,OMN,Value Prod,2009,10002,3915456,235
Oman,High-income economies,OM,OMN,Value Yield,2009,10002,5751252,235
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Prod,2017,170017,36383658,3462
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Yield,2017,170017,4100022,3462
Japan,High-income economies,JP,JPN,Value Prod,2010,3352446,245854371,55576
Japan,High-income economies,JP,JPN,Value Yield,2010,3352446,10211334,55576
Switzerland,High-income economies,CH,CHE,Value Prod,2006,221880,20523534,1359
Switzerland,High-income economies,CH,CHE,Value Yield,2006,221880,9039462,1359
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2005,53865,66323523,7146
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2005,53865,5584845,7146
Argentina,High-income economies,AR,ARG,Value Prod,2018,4257068,747194056,172928
Argentina,High-income economies,AR,ARG,Value Yield,2018,4257068,9250913,172928
Spain,High-income economies,ES,ESP,Value Prod,2002,4896568,477936963,40727
Spain,High-income economies,ES,ESP,Value Yield,2002,4896568,11761694,40727
Argentina,High-income economies,AR,ARG,Value Prod,2007,3503873,579031306,186790
Argentina,High-income economies,AR,ARG,Value Yield,2007,3503873,10890054,186790
Samoa,Upper-middle-income economies,WS,WSM,Value Prod,2011,34.42,400880,69
Samoa,Upper-middle-income economies,WS,WSM,Value Yield,2011,34.42,1431265,69
Morocco,Lower-middle-income economies,MA,MAR,Value Prod,2015,1151892,208481000,13697
Morocco,Lower-middle-income economies,MA,MAR,Value Yield,2015,1151892,10556049,13697
Malawi,Low income economies,MW,MWI,Value Prod,2015,239445.95,144932340,2358
Malawi,Low income economies,MW,MWI,Value Yield,2015,239445.95,11427395,2358
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Prod,2007,2380.9,28451843,1026
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Yield,2007,2380.9,5504597,1026
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2003,6542316,926265032,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2003,6542316,9331763,1597
Peru,Upper-middle-income economies,PE,PER,Value Prod,2007,864970.55,173831511,2928
Peru,Upper-middle-income economies,PE,PER,Value Yield,2007,864970.55,12379024,2928
Peru,Upper-middle-income economies,PE,PER,Value Prod,2018,980664,238347312,4800
Peru,Upper-middle-income economies,PE,PER,Value Yield,2018,980664,13066011,4800
"China, Taiwan Province of",High-income economies,TW,TWN,Value Prod,2013,981141,49509630,9632
"China, Taiwan Province of",High-income economies,TW,TWN,Value Yield,2013,981141,8851764,9632
Bulgaria,Upper-middle-income economies,BG,BGR,Value Prod,2003,68986,37346088,2490
Bulgaria,Upper-middle-income economies,BG,BGR,Value Yield,2003,68986,3615240,2490
French Polynesia,High-income economies,PF,PYF,Value Prod,2010,554,181345,28
French Polynesia,High-income economies,PF,PYF,Value Yield,2010,554,6327535,28
Mozambique,Low income economies,MZ,MOZ,Value Prod,2005,17055,66890145,771
Mozambique,Low income economies,MZ,MOZ,Value Yield,2005,17055,5994359,771
Honduras,Lower-middle-income economies,HN,HND,Value Prod,2002,1400,43080800,1772
Honduras,Lower-middle-income economies,HN,HND,Value Yield,2002,1400,8359477,1772
Ukraine,Lower-middle-income economies,UA,UKR,Value Prod,2008,2831797.8,577200522,54081
Ukraine,Lower-middle-income economies,UA,UKR,Value Yield,2008,2831797.8,4927818,54081
"China, Taiwan Province of",High-income economies,TW,TWN,Value Prod,2012,989937,50031978,9396
"China, Taiwan Province of",High-income economies,TW,TWN,Value Yield,2012,989937,9166926,9396
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2017,312083,88033568,6814
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2017,312083,8596903,6814
Madagascar,Low income economies,MG,MDG,Value Prod,2006,16161,86870413,109
Madagascar,Low income economies,MG,MDG,Value Yield,2006,16161,4392290,109
Honduras,Lower-middle-income economies,HN,HND,Value Prod,2007,237176,63909111,5284
Honduras,Lower-middle-income economies,HN,HND,Value Yield,2007,237176,10432891,5284
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2018,10332901,1215541215,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2018,10332901,11180260,1597
Poland,High-income economies,PL,POL,Value Prod,2003,3760093,344455242,7184
Poland,High-income economies,PL,POL,Value Yield,2003,3760093,5917806,7184
Côte d'Ivoire,Lower-middle-income economies,CI,CIV,Value Prod,2007,50642,99084132,93
Côte d'Ivoire,Lower-middle-income economies,CI,CIV,Value Yield,2007,50642,6337450,93
Hungary,High-income economies,HU,HUN,Value Prod,2014,1377969,127803576,9011
Hungary,High-income economies,HU,HUN,Value Yield,2014,1377969,7923324,9011
Peru,Upper-middle-income economies,PE,PER,Value Prod,2006,698320.82,164513769,4238
Peru,Upper-middle-income economies,PE,PER,Value Yield,2006,698320.82,11581297,4238
"China, Taiwan Province of",High-income economies,TW,TWN,Value Prod,2009,997343,48754920,8589
"China, Taiwan Province of",High-income economies,TW,TWN,Value Yield,2009,997343,8618166,8589
Guyana,Upper-middle-income economies,GY,GUY,Value Prod,2010,38222,20983200,212
Guyana,Upper-middle-income economies,GY,GUY,Value Yield,2010,38222,5846364,212
Burkina Faso,Low income economies,BF,BFA,Value Prod,2011,128339,34873923,843
Burkina Faso,Low income economies,BF,BFA,Value Yield,2011,128339,9494212,843
Viet Nam,Lower-middle-income economies,VN,VNM,Value Prod,2003,662000,529842600,19154
Viet Nam,Lower-middle-income economies,VN,VNM,Value Yield,2003,662000,7335664,19154
Sweden,High-income economies,SE,SWE,Value Prod,2011,703635.62,41944685,1781
Sweden,High-income economies,SE,SWE,Value Yield,2011,703635.62,6488950,1781
Rwanda,Low income economies,RW,RWA,Value Prod,2004,4374,37200480,160
Rwanda,Low income economies,RW,RWA,Value Yield,2004,4374,2867622,160
"China, Taiwan Province of",High-income economies,TW,TWN,Value Prod,2006,460563,51713010,9014
"China, Taiwan Province of",High-income economies,TW,TWN,Value Yield,2006,460563,8631318,9014
Burundi,Low income economies,BI,BDI,Value Prod,2003,645,20955905,264
Burundi,Low income economies,BI,BDI,Value Yield,2003,645,4030790,264
Belize,Upper-middle-income economies,BZ,BLZ,Value Prod,2010,9516.24,12358682,700
Belize,Upper-middle-income economies,BZ,BLZ,Value Yield,2010,9516.24,6661410,700
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Prod,2002,27907,29116339,733
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Yield,2002,27907,6788390,733
Iraq,Upper-middle-income economies,IQ,IRQ,Value Prod,2015,155909,41797693,197
Iraq,Upper-middle-income economies,IQ,IRQ,Value Yield,2015,155909,3646629,197
Angola,Lower-middle-income economies,AO,AGO,Value Prod,2005,9000,87991701,40
Angola,Lower-middle-income economies,AO,AGO,Value Yield,2005,9000,5317018,40
Czechia,High-income economies,CZ,CZE,Value Prod,2010,312815,65799126,4957
Czechia,High-income economies,CZ,CZE,Value Yield,2010,312815,6366120,4957
Rwanda,Low income economies,RW,RWA,Value Prod,2009,3031,45289110,1188
Rwanda,Low income economies,RW,RWA,Value Yield,2009,3031,3454680,1188
Italy,High-income economies,IT,ITA,Value Prod,2009,1909031,425109783,74172
Italy,High-income economies,IT,ITA,Value Yield,2009,1909031,10527951,74172
North Macedonia,Upper-middle-income economies,MK,MKD,Value Prod,2011,68972,11660742,98
North Macedonia,Upper-middle-income economies,MK,MKD,Value Yield,2011,68972,4372704,98
Uruguay,High-income economies,UY,URY,Value Prod,2014,1231650,33666546,22962
Uruguay,High-income economies,UY,URY,Value Yield,2014,1231650,8071866,22962
Jamaica,Upper-middle-income economies,JM,JAM,Value Prod,2008,15628.63,15046656,621
Jamaica,Upper-middle-income economies,JM,JAM,Value Yield,2008,15628.63,6640008,621
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Prod,2008,10628,27174240,105
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Yield,2008,10628,4409916,105
Slovenia,High-income economies,SI,SVN,Value Prod,2005,144122,8184102,1384
Slovenia,High-income economies,SI,SVN,Value Yield,2005,144122,7851798,1384
Chile,High-income economies,CL,CHL,Value Prod,2006,1212578.5,108530163,9831
Chile,High-income economies,CL,CHL,Value Yield,2006,1212578.5,11988928,9831
Armenia,Upper-middle-income economies,AM,ARM,Value Prod,2007,27048.84,15544302,242
Armenia,Upper-middle-income economies,AM,ARM,Value Yield,2007,27048.84,5144406,242
Uruguay,High-income economies,UY,URY,Value Prod,2005,334405,23053116,9232
Uruguay,High-income economies,UY,URY,Value Yield,2005,334405,6874704,9232
Senegal,Low income economies,SN,SEN,Value Prod,2007,3343,19546415,558
Senegal,Low income economies,SN,SEN,Value Yield,2007,3343,10744916,558
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2011,80656.32,83385729,12385
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2011,80656.32,5342792,12385
Algeria,Upper-middle-income economies,DZ,DZA,Value Prod,2007,146713,71861868,3563
Algeria,Upper-middle-income economies,DZ,DZA,Value Yield,2007,146713,3860598,3563
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2010,3452439.73,856674126,52305
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2010,3452439.73,10282167,52305
Thailand,Upper-middle-income economies,TH,THA,Value Prod,2007,3569054,1021952057,66858
Thailand,Upper-middle-income economies,TH,THA,Value Yield,2007,3569054,8509585,66858
Colombia,Upper-middle-income economies,CO,COL,Value Prod,2002,1159471,386817991,84023
Colombia,Upper-middle-income economies,CO,COL,Value Yield,2002,1159471,11778452,84023
Zambia,Lower-middle-income economies,ZM,ZMB,Value Prod,2007,200411,33566574,1670
Zambia,Lower-middle-income economies,ZM,ZMB,Value Yield,2007,200411,7558158,1670
Panama,High-income economies,PA,PAN,Value Prod,2005,47058,18946554,2677
Panama,High-income economies,PA,PAN,Value Yield,2005,47058,5970444,2677
Ireland,High-income economies,IE,IRL,Value Prod,2010,1565308,13781710,2529
Ireland,High-income economies,IE,IRL,Value Yield,2010,1565308,8665740,2529
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2005,99794,142250395,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2005,99794,9724876,1
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Prod,2005,42956,25531926,105
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Yield,2005,42956,5193456,105
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2016,163443.01,225156505,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2016,163443.01,6728715,1
Senegal,Low income economies,SN,SEN,Value Prod,2008,15500,31065027,604
Senegal,Low income economies,SN,SEN,Value Yield,2008,15500,11038209,604
Philippines,Lower-middle-income economies,PH,PHL,Value Prod,2011,1933704,544233557,21119
Philippines,Lower-middle-income economies,PH,PHL,Value Yield,2011,1933704,7616917,21119
Pakistan,Lower-middle-income economies,PK,PAK,Value Prod,2006,7904470,660752575,6925
Pakistan,Lower-middle-income economies,PK,PAK,Value Yield,2006,7904470,7176946,6925
Morocco,Lower-middle-income economies,MA,MAR,Value Prod,2013,1040381,178264555,13697
Morocco,Lower-middle-income economies,MA,MAR,Value Yield,2013,1040381,10105018,13697
Argentina,High-income economies,AR,ARG,Value Prod,2005,2550789,584420396,138669
Argentina,High-income economies,AR,ARG,Value Yield,2005,2550789,11817925,138669
Samoa,Upper-middle-income economies,WS,WSM,Value Prod,2009,84,384845,58
Samoa,Upper-middle-income economies,WS,WSM,Value Yield,2009,84,1438335,58
Argentina,High-income economies,AR,ARG,Value Prod,2016,3595921.83,671607615,199908
Argentina,High-income economies,AR,ARG,Value Yield,2016,3595921.83,9429924,199908
Greece,High-income economies,GR,GRC,Value Prod,2005,466364,120944054,12083
Greece,High-income economies,GR,GRC,Value Yield,2005,466364,10784949,12083
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2011,9056114,1095215779,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2011,9056114,9603090,1597
French Polynesia,High-income economies,PF,PYF,Value Prod,2008,1418,178685,54
French Polynesia,High-income economies,PF,PYF,Value Yield,2008,1418,6286020,54
Bangladesh,Lower-middle-income economies,BD,BGD,Value Prod,2012,3318000,444891906,13289
Bangladesh,Lower-middle-income economies,BD,BGD,Value Yield,2012,3318000,5946318,13289
Mozambique,Low income economies,MZ,MOZ,Value Prod,2011,80408,103279155,769
Mozambique,Low income economies,MZ,MOZ,Value Yield,2011,80408,7224777,769
Slovakia,High-income economies,SK,SVK,Value Prod,2002,93029,33166866,1642
Slovakia,High-income economies,SK,SVK,Value Yield,2002,93029,5002752,1642
Ethiopia,Low income economies,ET,ETH,Value Prod,2015,858827,232996981,4128
Ethiopia,Low income economies,ET,ETH,Value Yield,2015,858827,6659814,4128
Ukraine,Lower-middle-income economies,UA,UKR,Value Prod,2010,3022596,493393782,62535
Ukraine,Lower-middle-income economies,UA,UKR,Value Yield,2010,3022596,4515930,62535
Romania,Upper-middle-income economies,RO,ROU,Value Prod,2006,62813,164877912,6733
Romania,Upper-middle-income economies,RO,ROU,Value Yield,2006,62813,5508930,6733
Croatia,High-income economies,HR,HRV,Value Prod,2006,1021771,42941220,2150
Croatia,High-income economies,HR,HRV,Value Yield,2006,1021771,9608480,2150
Honduras,Lower-middle-income economies,HN,HND,Value Prod,2005,332666,60875780,3666
Honduras,Lower-middle-income economies,HN,HND,Value Yield,2005,332666,10004302,3666
Mauritius,Upper-middle-income economies,MU,MUS,Value Prod,2010,31381,26912376,860
Mauritius,Upper-middle-income economies,MU,MUS,Value Yield,2010,31381,9286354,860
Nepal,Low income economies,NP,NPL,Value Prod,2011,149907,133313131,343
Nepal,Low income economies,NP,NPL,Value Yield,2011,149907,6706133,343
Guatemala,Upper-middle-income economies,GT,GTM,Value Prod,2009,386832,208143159,13277
Guatemala,Upper-middle-income economies,GT,GTM,Value Yield,2009,386832,12039566,13277
United States of America,High-income economies,US,USA,Value Prod,2014,50066667,4168358334,407779
United States of America,High-income economies,US,USA,Value Yield,2014,50066667,14714392,407779
Canada,High-income economies,CA,CAN,Value Prod,2012,610000,306001235,73509
Canada,High-income economies,CA,CAN,Value Yield,2012,610000,6702830,73509
Guyana,Upper-middle-income economies,GY,GUY,Value Prod,2008,12612,20311812,234
Guyana,Upper-middle-income economies,GY,GUY,Value Yield,2008,12612,5067174,234
Croatia,High-income economies,HR,HRV,Value Prod,2011,1075577,40307316,1639
Croatia,High-income economies,HR,HRV,Value Yield,2011,1075577,9259824,1639
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Prod,2005,76803,38543379,149
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Yield,2005,76803,4928777,149
Latvia,High-income economies,LV,LVA,Value Prod,2014,322093,11749972,1417
Latvia,High-income economies,LV,LVA,Value Yield,2014,322093,2369275,1417
Yemen,Low income economies,YE,YEM,Value Prod,2003,12571,13387266,748
Yemen,Low income economies,YE,YEM,Value Yield,2003,12571,3073063,748
Burkina Faso,Low income economies,BF,BFA,Value Prod,2005,153913,31828818,93
Burkina Faso,Low income economies,BF,BFA,Value Yield,2005,153913,8998836,93
Antigua and Barbuda,High-income economies,AG,ATG,Value Prod,2009,98,65800,8
Antigua and Barbuda,High-income economies,AG,ATG,Value Yield,2009,98,1418280,8
Pakistan,Lower-middle-income economies,PK,PAK,Value Prod,2015,8650129,896827253,1
